"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
03bf1619-941e-4c04-934e-f7f90953b8e2,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
03c38a7a-e469-4cb1-b5f6-302f325aeed1,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
03db28f6-2974-4941-8798-f542acae935c,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
03e80125-afed-4c0b-8fda-8a3232d36c33,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
04089cae-c22a-41d0-918c-8fdabb405df7,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
0422d76a-e18c-43aa-bd03-bddacfe6b1dc,USD,false,1.0,"#N/A","#N/A",2000.0,2400.0,"#N/A"
042505e7-ad22-4e90-a3f8-51d958fcbd40,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
042884eb-1df9-4f04-adf4-1a995e37b3df,USD,false,1.0,"#N/A","#N/A",10000.0,11800.0,"#N/A"
0430844a-2057-44c8-8882-8145fda9537b,USD,false,1.0,"#N/A","#N/A",446.0,3099.32,"#N/A"
04382ad9-1884-4a51-a444-9419e17cb81f,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
0438dbe7-bb02-4ca4-9f26-849c4b502916,USD,false,1.0,"#N/A","#N/A",10000.0,16500.0,"#N/A"
04460db2-3b8a-4795-a7a9-de042277e3a6,USD,false,1.0,1f7da595-4f93-419b-9c9e-5cb00642f301,4a7bbaca-176d-4575-91f4-a1b3c7f55d38,2000.0,5553.68,9bd1a929-0ffc-4d85-b058-b77e9048a9f8
0455fe9a-8145-4b37-9de6-90a562dd1ead,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
04574ad3-1d0e-41eb-9eb4-05f4816e2e0a,USD,false,1.0,"#N/A","#N/A",10000.0,7695.97,"#N/A"
045d98d0-bf13-4e26-9de5-6eea7df4b4ad,USD,false,1.0,"#N/A","#N/A",3.16,9012.05,"#N/A"
046aef51-6148-4d44-bf7b-d16568f94046,USD,false,0.0,"#N/A","#N/A",17500.0,15000.0,"#N/A"
046d70b8-3d55-4d82-b263-5826094b3c9a,USD,false,0.0,"#N/A","#N/A",582.28,0.0,"#N/A"
04701e9d-f23d-404b-bba9-54c3a1ffe4be,USD,false,1.0,"#N/A","#N/A",17500.0,3500.0,"#N/A"
04870073-b135-485a-9e20-4a2668ca40db,USD,false,1.0,"#N/A","#N/A",821.75,6747.5,"#N/A"
048ef824-c179-4ce9-9899-e4b82e42da7f,USD,false,1.0,"#N/A","#N/A",0.0,3038.11,"#N/A"
0499c86f-4aa0-4fbf-b9ba-76897d4dc19d,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
04a44881-134e-4725-96a7-1b576bb8ff83,USD,false,1.0,"#N/A","#N/A",10000.0,2400.0,"#N/A"
04a91105-7334-4dd0-b8f0-0fc88ef48b8d,USD,false,1.0,"#N/A","#N/A",10000.0,6000.0,"#N/A"
